Fertilizer,Growth
Control,51.98685661204493
Control,49.44694279531526
Control,52.590754152402766
Control,56.0921194256321
Control,49.063386501106656
Control,49.06345217220328
Control,56.316851262029566
Control,53.069738916611634
Control,48.122102456260194
Control,52.17024017434386
Control,48.14632922875015
Control,48.137080985718974
Control,50.96784908626414
Control,42.34687902136881
Control,43.10032866994787
Control,47.75084988303611
Control,45.948675518662306
Control,51.256989330381096
Control,46.36790369791515
Control,44.35078519465883
Control,55.862595075686215
Control,49.09689479805386
Control,50.2701128187517
Control,44.301007255146175
Control,47.82246910189927
Control,50.44369035883946
Control,45.396025690310786
Control,51.502792073382686
Control,47.59744524032478
Control,48.83322500082689
Organic,50.593173551082415
Organic,60.40911273803575
Organic,52.94601110104826
Organic,48.7691562841764
Organic,56.29017964841275
Organic,48.11662540011591
Organic,53.83545438001902
Organic,45.1613195044809
Organic,47.68725580440628
Organic,53.787444943476494
Organic,55.95386631998164
Organic,53.68547312475988
Organic,52.537406870447036
Organic,51.795585217642845
Organic,47.08591203853029
Organic,50.12062316642117
Organic,51.15744491616085
Organic,57.22848890487566
Organic,54.374473158273844
Organic,45.94783937854906
Organic,54.29633587757918
Organic,51.459670878334734
Organic,50.292311998776164
Organic,55.446705155363475
Organic,57.1239980899838
Organic,56.725120476464795
Organic,49.64312990710945
Organic,51.763150496595145
Organic,54.325053725614254
Organic,56.90218050848944
Nitrogen,53.08330304861884
Nitrogen,54.257364093344734
Nitrogen,50.57466010397589
Nitrogen,50.21517350367732
Nitrogen,58.25010328957679
Nitrogen,60.424960114283294
Nitrogen,54.711959513678664
Nitrogen,59.014131591568095
Nitrogen,56.446544100190536
Nitrogen,52.4195209815795
Nitrogen,56.44558242203365
Nitrogen,61.15214626586388
Nitrogen,54.856695843560196
Nitrogen,61.258574623256024
Nitrogen,44.52101958364102
Nitrogen,58.287610017500896
Nitrogen,55.34818827295268
Nitrogen,53.80397059813653
Nitrogen,55.367043106142006
Nitrogen,47.04972434159643
Nitrogen,54.12131244864995
Nitrogen,56.42845028604699
Nitrogen,60.911576178966065
Nitrogen,52.92691912690541
Nitrogen,51.76602558842725
Nitrogen,52.992971825661854
Nitrogen,58.6616084708083
Nitrogen,56.31500443863874
Nitrogen,52.88095918493185
Nitrogen,57.05306973245342
Potassium,58.38831019739216
Potassium,61.874579962131556
Potassium,55.19178762449059
Potassium,56.689351413608925
Potassium,56.43156738747137
Potassium,52.145940207471526
Potassium,59.1844811082583
Potassium,59.04422108871956
Potassium,58.02045382656984
Potassium,57.06165146649941
Potassium,52.33851703179835
Potassium,56.31741870893856
Potassium,56.629141933892924
Potassium,54.79089092311352
Potassium,57.35485715333596
Potassium,59.61620342725816
Potassium,65.54474360484213
Potassium,58.698311251327354
Potassium,59.03020156289106
Potassium,57.70221633693533
Potassium,50.32491513880383
Potassium,57.89394449820313
Potassium,58.24092083976411
Potassium,67.85296844994114
Potassium,57.23055614087551
Potassium,59.20618936933445
Potassium,57.86115292117903
Potassium,53.32528784952187
Potassium,62.571291258060086
Potassium,61.007732130747094
Mixed,63.16412778817219
Mixed,56.36245018082104
Mixed,65.6111772437444
Mixed,54.39259574883088
Mixed,62.34742837520108
Mixed,68.76182250323991
Mixed,56.03785469947724
Mixed,57.734809081588914
Mixed,60.398605460350566
Mixed,57.9860973835352
Mixed,53.79734627573547
Mixed,60.27425189922411
Mixed,55.75078514509558
Mixed,61.89436972254072
Mixed,56.32230306306479
Mixed,66.19973762007015
Mixed,56.86698683065505
Mixed,58.7117539351773
Mixed,63.25406886947868
Mixed,55.07654273426418
Mixed,60.909839738416515
Mixed,65.22857101712971
Mixed,53.57006706175509
Mixed,60.73853543412922
Mixed,61.03953117699369
Mixed,63.12729148710924
Mixed,55.05219715648767
Mixed,54.71817354766289
Mixed,62.08776626246759
Mixed,61.18793869293275
