Fertilizer,Growth
Group_0,51.21886831901772
Group_0,45.840063575038016
Group_0,53.00180478322583
Group_0,53.76225886556485
Group_0,42.19585924538465
Group_0,44.79128197255073
Group_0,50.51136161266914
Group_0,48.73502963062567
Group_0,49.93279536998284
Group_0,46.58782428970568
Group_0,53.51759189945131
Group_0,53.111167741715796
Group_0,50.26412279024486
Group_0,54.508964827872134
Group_0,51.87003736900818
Group_0,46.56283014846705
Group_0,51.475003136329995
Group_0,46.16446959668401
Group_0,53.51380120522909
Group_0,49.800296356054986
Group_0,49.26055054581896
Group_0,47.276281822384234
Group_0,54.89016535469612
Group_0,49.38188207172479
Group_0,48.28668871134757
Group_0,48.59146579804708
Group_0,52.12923674221339
Group_0,51.461776257456314
Group_0,51.65093044638395
Group_0,51.72328401203153
Group_1,61.06659040348185
Group_1,50.87433993446154
Group_1,50.45102908371385
Group_1,49.24490908700849
Group_1,54.96391769030198
Group_1,57.01588917088357
Group_1,52.0442101693805
Group_1,49.139374092149886
Group_1,49.20207513723504
Group_1,55.102371151298804
Group_1,55.47301668481377
Group_1,54.67261707322078
Group_1,49.837961170845226
Group_1,53.42864529226688
Group_1,52.96674323656291
Group_1,53.37475438691605
Group_1,55.98571511179276
Group_1,53.39438219509873
Group_1,55.21565425228758
Group_1,52.770316277955565
Group_1,53.656477594759934
Group_1,55.02515290335416
Group_1,46.671376720577335
Group_1,51.221315134570794
Group_1,50.61850938282882
Group_1,49.944488607026635
Group_1,51.39943099509326
Group_1,58.47976524493758
Group_1,49.036675537227026
Group_1,56.373113418365925
Group_2,48.26852091353678
Group_2,53.6604598800569
Group_2,55.651012260420025
Group_2,57.344889325437116
Group_2,57.84490631917142
Group_2,58.173388940799704
Group_2,53.60509971100625
Group_2,53.15059282934173
Group_2,58.431903525028616
Group_2,54.23478270047354
Group_2,49.89725470664831
Group_2,50.46685114398608
Group_2,51.322190855993554
Group_2,56.988642976215054
Group_2,55.56970294428226
Group_2,57.76194141627107
Group_2,53.290989414653865
Group_2,55.634158764306854
Group_2,57.502361575869344
Group_2,53.76261384111905
Group_2,56.82710095022965
Group_2,52.3522962357334
Group_2,53.547784613739715
Group_2,53.473048424006684
Group_2,50.21664141764384
Group_2,56.94788992314233
Group_2,53.122390639189106
Group_2,55.04997647491075
Group_2,56.92298663562364
Group_2,56.78612470411978
Group_3,60.16154043589115
Group_3,57.10605806196231
Group_3,55.80680675182339
Group_3,57.1811271563744
Group_3,50.75066226416788
Group_3,51.71155011030765
Group_3,52.20920155058239
Group_3,53.511012689594075
Group_3,59.09909690689375
Group_3,53.878083778559756
Group_3,55.98734978384244
Group_3,62.69691319114426
Group_3,56.0749441157543
Group_3,60.45006227386835
Group_3,53.76552927996049
Group_3,56.67824976852948
Group_3,53.699911780357674
Group_3,56.14386769639775
Group_3,60.86123254982958
Group_3,50.5907183072306
Group_3,59.23769457418343
Group_3,58.45094240932911
Group_3,55.12340017721282
Group_3,51.71576858244618
Group_3,57.78851803085548
Group_3,55.38202916374479
Group_3,58.430704845418816
Group_3,57.58740858209377
Group_3,63.90711556528366
Group_3,56.5425774901079
Group_4,55.906010029512544
Group_4,60.71710253982526
Group_4,60.87998673588706
Group_4,65.43675030096175
Group_4,63.340444983658315
Group_4,61.42748423659804
Group_4,65.85321156487825
Group_4,55.24494778270859
Group_4,57.44099386900101
Group_4,56.2936962343779
Group_4,58.44076078737693
Group_4,54.49325540977476
Group_4,62.540603787257616
Group_4,59.111109211604905
Group_4,54.11677482198937
Group_4,55.937683675169836
Group_4,61.25405538980078
Group_4,63.352506271577525
Group_4,67.98692356676715
Group_4,71.65544986402932
Group_4,61.65763773310398
Group_4,56.04184751987254
Group_4,51.47181487707476
Group_4,61.070845849375345
Group_4,56.7482356187587
Group_4,58.338570959281256
Group_4,57.55161280376077
Group_4,59.43683645433446
Group_4,64.26392092315058
Group_4,60.62819426978138
